0	71
0.002877	71.80214
0.038932	70.34316
0.068324	72.42106
0.077979	77.44009
0.087596	83.63903
0.100458	90.72437
0.106792	97.21685
0.129463	104.6015
0.132495	111.9775
0.151893	119.3607
0.168047	125.8575
0.184201	132.3543
0.210175	138.8555
0.24929	143.8876
0.288502	145.9698
0.327849	143.9223
0.360736	139.2171
0.380579	133.0312
0.390582	127.4309
0.407151	121.2436
0.410617	115.3454
0.450109	108.8732
0.489639	101.2211
0.552073	93.87405
0.611195	87.70552
0.676844	82.12985
0.748981	78.32696
0.801479	74.51538
0.853881	73.65361
0.879864	79.8598
0.892677	88.42004
0.9055	96.6853
0.924811	106.7233
0.937615	115.5786
0.966794	124.1461
0.992662	133.892
1.025182	140.3961
