0	85
0.00559	89.48761
0.01572	95.33991
0.02928	99.23879
0.04777	105.67345
0.07758	109.37077
0.08765	115.02788
0.10186	120.87859
0.13239	126.72292
0.15036	131.59612
0.18465	136.46294
0.21071	141.13777
0.23216	144.25273
0.26455	143.45925
0.31813	145
0.32873	140.11565
0.33881	133.66984
0.3529	127.02725
0.40037	122.51892
0.45968	116.83472
0.51504	111.54248
0.55448	107.4277
0.59417	104.09366
0.65421	100.55647
0.71451	97.80001
0.77441	93.87245
0.83477	91.31118
0.88698	88.75309
0.94359	87.16932
1.00415	85.19359
